experiment_id,generation,individual_id,age,layer,model_performance
5,8,20,5,2,"{'epoch': 9, 'train_loss': 0.37, 'test_loss': 0.43, 'precision': 0.77, 'recall': 0.89, 'accuracy': 0.86, 'learning_rate': 0.0, 'branches': [160, 490, 345], 'best_f1': 0.83, 'best_auc': 0.94, 'time': 243.21}"
5,8,38,0,0,"{'epoch': 0, 'train_loss': 0.82, 'test_loss': 0.7, 'precision': 0.62, 'recall': 0.84, 'accuracy': 0.74, 'learning_rate': 0.0, 'branches': [1380, 690, 345], 'best_f1': 0.72, 'best_auc': 0.85, 'time': 10.59}"
5,9,38,0,0,"{'epoch': 0, 'train_loss': 0.82, 'test_loss': 0.7, 'precision': 0.62, 'recall': 0.84, 'accuracy': 0.74, 'learning_rate': 0.0, 'branches': [1380, 690, 345], 'best_f1': 0.72, 'best_auc': 0.85, 'time': 10.59}"
5,9,16,5,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
5,9,20,6,2,"{'epoch': 9, 'train_loss': 0.37, 'test_loss': 0.43, 'precision': 0.77, 'recall': 0.89, 'accuracy': 0.86, 'learning_rate': 0.0, 'branches': [160, 490, 345], 'best_f1': 0.83, 'best_auc': 0.94, 'time': 243.21}"
5,10,16,5,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
5,10,23,7,2,"{'epoch': 9, 'train_loss': 0.37, 'test_loss': 0.42, 'precision': 0.81, 'recall': 0.85, 'accuracy': 0.87, 'learning_rate': 0.0, 'branches': [110, 490, 345], 'best_f1': 0.83, 'best_auc': 0.94, 'time': 241.88}"
5,10,41,0,0,"{'epoch': 0, 'train_loss': 0.75, 'test_loss': 0.71, 'precision': 0.57, 'recall': 0.95, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [1140, 570, 285], 'best_f1': 0.71, 'best_auc': 0.88, 'time': 4.48}"
5,11,41,0,0,"{'epoch': 0, 'train_loss': 0.75, 'test_loss': 0.71, 'precision': 0.57, 'recall': 0.95, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [1140, 570, 285], 'best_f1': 0.71, 'best_auc': 0.88, 'time': 4.48}"
5,11,43,3,1,"{'epoch': 2, 'train_loss': 0.49, 'test_loss': 0.52, 'precision': 0.67, 'recall': 0.89, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [380, 95, 190], 'best_f1': 0.79, 'best_auc': 0.91, 'time': 15.82}"
5,11,26,8,2,"{'epoch': 9, 'train_loss': 0.37, 'test_loss': 0.45, 'precision': 0.72, 'recall': 0.93, 'accuracy': 0.83, 'learning_rate': 0.0, 'branches': [110, 490, 122], 'best_f1': 0.83, 'best_auc': 0.94, 'time': 423.6}"
5,12,43,4,1,"{'epoch': 2, 'train_loss': 0.49, 'test_loss': 0.52, 'precision': 0.67, 'recall': 0.89, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [380, 95, 190], 'best_f1': 0.79, 'best_auc': 0.91, 'time': 15.82}"
5,12,24,9,2,"{'epoch': 9, 'train_loss': 0.36, 'test_loss': 0.41, 'precision': 0.79, 'recall': 0.88, 'accuracy': 0.87, 'learning_rate': 0.0, 'branches': [110, 490, 222], 'best_f1': 0.83, 'best_auc': 0.95, 'time': 865.51}"
5,12,44,0,0,"{'epoch': 0, 'train_loss': 0.8, 'test_loss': 0.76, 'precision': 0.71, 'recall': 0.57, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [1380, 690, 345], 'best_f1': 0.63, 'best_auc': 0.82, 'time': 6.75}"
5,13,44,0,0,"{'epoch': 0, 'train_loss': 0.8, 'test_loss': 0.76, 'precision': 0.71, 'recall': 0.57, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [1380, 690, 345], 'best_f1': 0.63, 'best_auc': 0.82, 'time': 6.75}"
5,13,40,4,1,"{'epoch': 2, 'train_loss': 0.51, 'test_loss': 0.53, 'precision': 0.66, 'recall': 0.92, 'accuracy': 0.79, 'learning_rate': 0.0, 'branches': [900, 95, 760], 'best_f1': 0.77, 'best_auc': 0.92, 'time': 33.89}"
