experiment_id,generation,individual_id,model_performance
6,0,3,"{'epoch': 0, 'train_loss': 1.2, 'test_loss': 1.25, 'precision': 0.1, 'recall': 0.8, 'accuracy': 0.48, 'learning_rate': 0.0, 'branches': [[1, 3]], 'best_f1': 0.18, 'best_auc': 0.72, 'time': 0.76}"
6,1,0,"{'epoch': 0, 'train_loss': 1.14, 'test_loss': 1.25, 'precision': 0.1, 'recall': 0.79, 'accuracy': 0.49, 'learning_rate': 0.0, 'branches': [[10, 3, 14]], 'best_f1': 0.17, 'best_auc': 0.73, 'time': 0.85}"
6,1,2,"{'epoch': 0, 'train_loss': 1.2, 'test_loss': 1.19, 'precision': 0.1, 'recall': 0.92, 'accuracy': 0.39, 'learning_rate': 0.0, 'branches': [[6, 8, 2], [10, 15, 11, 7], [10, 3, 14]], 'best_f1': 0.17, 'best_auc': 0.77, 'time': 1.7}"
6,1,2,"{'epoch': 0, 'train_loss': 1.2, 'test_loss': 1.19, 'precision': 0.1, 'recall': 0.92, 'accuracy': 0.39, 'learning_rate': 0.0, 'branches': [[6, 8, 2], [10, 15, 11, 7], [10, 3, 14]], 'best_f1': 0.17, 'best_auc': 0.77, 'time': 1.7}"
7,0,1,"{'epoch': 0, 'train_loss': 0.58, 'test_loss': 0.54, 'precision': 0.69, 'recall': 0.86, 'accuracy': 0.79, 'learning_rate': 0.0, 'branches': [[14, 1, 3]], 'best_f1': 0.77, 'best_auc': 0.88, 'time': 1.45}"
7,0,2,"{'epoch': 0, 'train_loss': 0.58, 'test_loss': 0.69, 'precision': 0.61, 'recall': 0.77, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [[14, 13], [2, 12, 9]], 'best_f1': 0.68, 'best_auc': 0.78, 'time': 1.22}"
7,0,3,"{'epoch': 0, 'train_loss': 0.62, 'test_loss': 0.55, 'precision': 0.68, 'recall': 0.87, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [[9, 9, 3]], 'best_f1': 0.76, 'best_auc': 0.87, 'time': 0.92}"
7,1,0,"{'epoch': 0, 'train_loss': 0.56, 'test_loss': 0.73, 'precision': 0.59, 'recall': 0.93, 'accuracy': 0.69, 'learning_rate': 0.0, 'branches': [[14, 1, 3], [3, 10, 5, 4]], 'best_f1': 0.72, 'best_auc': 0.89, 'time': 1.39}"
7,1,2,"{'epoch': 0, 'train_loss': 0.58, 'test_loss': 0.69, 'precision': 0.61, 'recall': 0.77, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [[14, 13], [2, 12, 9]], 'best_f1': 0.68, 'best_auc': 0.78, 'time': 1.22}"
7,1,2,"{'epoch': 0, 'train_loss': 0.58, 'test_loss': 0.69, 'precision': 0.61, 'recall': 0.77, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [[14, 13], [2, 12, 9]], 'best_f1': 0.68, 'best_auc': 0.78, 'time': 1.22}"
8,0,1,"{'epoch': 0, 'train_loss': 0.45, 'test_loss': 0.77, 'precision': 0.87, 'recall': 0.8, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[11, 4, 11, 14], [4, 6, 3, 13], [4, 1, 6, 7]], 'best_f1': 0.83, 'best_auc': 0.98, 'time': 2.52}"
8,0,2,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 0.39, 'precision': 0.67, 'recall': 0.93, 'accuracy': 0.91, 'learning_rate': 0.0, 'branches': [[11, 8], [15, 10, 7, 3]], 'best_f1': 0.78, 'best_auc': 0.98, 'time': 1.58}"
8,0,3,"{'epoch': 0, 'train_loss': 0.49, 'test_loss': 0.64, 'precision': 0.86, 'recall': 0.83, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[7, 12, 5, 11], [10, 6, 14]], 'best_f1': 0.84, 'best_auc': 0.98, 'time': 1.39}"
8,1,1,"{'epoch': 0, 'train_loss': 0.45, 'test_loss': 0.77, 'precision': 0.87, 'recall': 0.8, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[11, 4, 11, 14], [4, 6, 3, 13], [4, 1, 6, 7]], 'best_f1': 0.83, 'best_auc': 0.98, 'time': 2.52}"
8,1,2,"{'epoch': 0, 'train_loss': 0.5, 'test_loss': 0.39, 'precision': 0.67, 'recall': 0.93, 'accuracy': 0.91, 'learning_rate': 0.0, 'branches': [[11, 8], [15, 10, 7, 3]], 'best_f1': 0.78, 'best_auc': 0.98, 'time': 1.58}"
8,1,3,"{'epoch': 0, 'train_loss': 0.49, 'test_loss': 0.64, 'precision': 0.86, 'recall': 0.83, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[7, 12, 5, 11], [10, 6, 14]], 'best_f1': 0.84, 'best_auc': 0.98, 'time': 1.39}"
